Kaynak,Tuketim,Tarih,YIL
Liquid Fuels,18.289146162,2021-06-01,2021
Doğal Gaz + LNG,10104.70554469458,2021-06-01,2021
Yenilenebilir + Atık,635.7994644477999,2021-06-01,2021
Termik,18768.22187242438,2021-06-01,2021
Hidrolik,4579.113850269723,2021-06-01,2021
Jeotermal + Rüzgar + Güneş,3881.56109509695,2021-06-01,2021
Brüt Üretim,27228.89681779105,2021-06-01,2021
Taşkömürü + İthal Kömür,5235.089544430001,2021-07-01,2021
Lignite,3578.09738287,2021-07-01,2021
Liquid Fuels,18.421970027,2021-07-01,2021
Doğal Gaz + LNG,11223.573564072758,2021-07-01,2021
Yenilenebilir + Atık,659.2151821694999,2021-07-01,2021
Termik,20714.39764356926,2021-07-01,2021
Hidrolik,5065.211216212043,2021-07-01,2021
Jeotermal + Rüzgar + Güneş,5486.4559125447495,2021-07-01,2021
Brüt Üretim,31266.06477232605,2021-07-01,2021
Taşkömürü + İthal Kömür,5978.09386047,2021-08-01,2021
Lignite,3722.05334141,2021-08-01,2021
Liquid Fuels,21.432041125,2021-08-01,2021
Doğal Gaz + LNG,12779.98202880379,2021-08-01,2021
Yenilenebilir + Atık,684.1014123240001,2021-08-01,2021
Termik,23185.662684132785,2021-08-01,2021
Hidrolik,4841.874897666509,2021-08-01,2021
Jeotermal + Rüzgar + Güneş,4996.420989814858,2021-08-01,2021
Brüt Üretim,33023.95857161415,2021-08-01,2021
Taşkömürü + İthal Kömür,4655.120917019999,2021-09-01,2021
Lignite,3779.54902137,2021-09-01,2021
Liquid Fuels,19.498257537,2021-09-01,2021
Doğal Gaz + LNG,11020.53064703297,2021-09-01,2021
Yenilenebilir + Atık,682.826180734,2021-09-01,2021
Termik,20157.52502369397,2021-09-01,2021
Hidrolik,2881.386215110555,2021-09-01,2021
Jeotermal + Rüzgar + Güneş,5109.5495585601,2021-09-01,2021
Brüt Üretim,28148.460797364627,2021-09-01,2021
Taşkömürü + İthal Kömür,3156.8464233856,2021-10-01,2021
Lignite,3683.8375919244,2021-10-01,2021
Liquid Fuels,22.22340552,2021-10-01,2021
Doğal Gaz + LNG,11008.5210804826,2021-10-01,2021
Yenilenebilir + Atık,711.4322863369999,2021-10-01,2021
Termik,18582.8607876496,2021-10-01,2021
Hidrolik,3289.3138396165323,2021-10-01,2021
Jeotermal + Rüzgar + Güneş,4841.069097430201,2021-10-01,2021
Brüt Üretim,26713.24372469633,2021-10-01,2021
Taşkömürü + İthal Kömür,5896.8522858176,2021-11-01,2021
Lignite,3913.1815788124,2021-11-01,2021
Liquid Fuels,34.67006282599999,2021-11-01,2021
Doğal Gaz + LNG,8938.60687632983,2021-11-01,2021
Yenilenebilir + Atık,708.1687035250001,2021-11-01,2021
Termik,19491.479507310836,2021-11-01,2021
Hidrolik,3125.13010239017,2021-11-01,2021
Jeotermal + Rüzgar + Güneş,4424.28497825647,2021-11-01,2021
Brüt Üretim,27040.89458795747,2021-11-01,2021
Taşkömürü + İthal Kömür,6383.0350104712,2021-12-01,2021
Lignite,4046.0340530988,2021-12-01,2021
Liquid Fuels,29.180425600000003,2021-12-01,2021
Doğal Gaz + LNG,9280.723295553322,2021-12-01,2021
Yenilenebilir + Atık,709.2072769839999,2021-12-01,2021
Termik,20448.180061707324,2021-12-01,2021
Hidrolik,3689.792852957979,2021-12-01,2021
Jeotermal + Rüzgar + Güneş,5117.712100366231,2021-12-01,2021
Brüt Üretim,29255.685015031537,2021-12-01,2021
Taşkömürü + İthal Kömür,6472.83304,2022-01-01,2022
Lignite,4112.05868129,2022-01-01,2022
Liquid Fuels,59.502218724,2022-01-01,2022
Doğal Gaz + LNG,7866.385351416001,2022-01-01,2022
Yenilenebilir + Atık,752.6477891349999,2022-01-01,2022
Termik,19263.427080565,2022-01-01,2022
Hidrolik,4716.429155894686,2022-01-01,2022
Jeotermal + Rüzgar + Güneş,4767.226227694448,2022-01-01,2022
Brüt Üretim,28747.082464154137,2022-01-01,2022
Taşkömürü + İthal Kömür,5655.0537300000005,2022-02-01,2022
Lignite,3666.55208999,2022-02-01,2022
Liquid Fuels,42.18656928,2022-02-01,2022
Doğal Gaz + LNG,6337.58679128,2022-02-01,2022
Yenilenebilir + Atık,702.807346675,2022-02-01,2022
Termik,16404.186527225,2022-02-01,2022
Hidrolik,5040.887080565,2022-02-01,2022
Jeotermal + Rüzgar + Güneş,4461.403524048619,2022-02-01,2022
Brüt Üretim,25906.47713183862,2022-02-01,2022
Taşkömürü + İthal Kömür,4467.196379,2022-03-01,2022
Lignite,4050.20363133,2022-03-01,2022
Liquid Fuels,22.11473045,2022-03-01,2022
Doğal Gaz + LNG,6071.175131169999,2022-03-01,2022
Yenilenebilir + Atık,740.09128923,2022-03-01,2022
Termik,15350.781161179995,2022-03-01,2022
Hidrolik,8054.631226143,2022-03-01,2022
Jeotermal + Rüzgar + Güneş,5419.280844544773,2022-03-01,2022
Brüt Üretim,28824.69323186777,2022-03-01,2022
Taşkömürü + İthal Kömür,3149.069508,2022-04-01,2022
Lignite,3684.67041492,2022-04-01,2022
Liquid Fuels,34.01579943,2022-04-01,2022
Doğal Gaz + LNG,4767.74102392,2022-04-01,2022
Yenilenebilir + Atık,761.0657275999989,2022-04-01,2022
Termik,12396.56247387,2022-04-01,2022
Hidrolik,8681.765235292998,2022-04-01,2022
Jeotermal + Rüzgar + Güneş,5091.885485606403,2022-04-01,2022
Brüt Üretim,26170.2131947694,2022-04-01,2022
Taşkömürü + İthal Kömür,3264.3242980000005,2022-05-01,2022
Lignite,3474.51702191,2022-05-01,2022
Liquid Fuels,30.5539714,2022-05-01,2022
Doğal Gaz + LNG,4601.81443169628,2022-05-01,2022
Yenilenebilir + Atık,825.1362852290998,2022-05-01,2022
Termik,12196.34600823538,2022-05-01,2022
Hidrolik,8668.426931956,2022-05-01,2022
Jeotermal + Rüzgar + Güneş,4801.9932524817705,2022-05-01,2022
Brüt Üretim,25666.766192673156,2022-05-01,2022
Taşkömürü + İthal Kömür,4723.348282,2022-06-01,2022
Lignite,3773.1193249,2022-06-01,2022
Liquid Fuels,25.603030680000003,2022-06-01,2022
Doğal Gaz + LNG,5611.341385920001,2022-06-01,2022
Yenilenebilir + Atık,810.7724904170001,2022-06-01,2022
Termik,14944.184513917002,2022-06-01,2022
Hidrolik,6950.109755877,2022-06-01,2022
Jeotermal + Rüzgar + Güneş,5555.283990407,2022-06-01,2022
Brüt Üretim,27449.578260201,2022-06-01,2022
Taşkömürü + İthal Kömür,5968.81749,2022-07-01,2022
Lignite,3601.34122142,2022-07-01,2022
Liquid Fuels,31.34655023,2022-07-01,2022
Doğal Gaz + LNG,5865.09492383,2022-07-01,2022
Yenilenebilir + Atık,826.8327381379,2022-07-01,2022
Termik,16293.432923617902,2022-07-01,2022
Hidrolik,5608.450243329899,2022-07-01,2022
Jeotermal + Rüzgar + Güneş,7200.983279362999,2022-07-01,2022
Brüt Üretim,29102.8664463108,2022-07-01,2022
Taşkömürü + İthal Kömür,6640.607408000001,2022-08-01,2022
Lignite,3656.38369441,2022-08-01,2022
Liquid Fuels,29.95852977,2022-08-01,2022
Doğal Gaz + LNG,9745.152309718982,2022-08-01,2022
Yenilenebilir + Atık,802.4061737449999,2022-08-01,2022
Termik,20874.50811564398,2022-08-01,2022
Hidrolik,5415.06472009967,2022-08-01,2022
Jeotermal + Rüzgar + Güneş,5571.737652455,2022-08-01,2022
Brüt Üretim,31861.31048819865,2022-08-01,2022
Taşkömürü + İthal Kömür,6478.627421,2022-09-01,2022
